职位名,公司名,工作地点,薪资,发布时间
Java开发工程师,深圳市车可讯科技有限公司,深圳,1.2-2万/月,05-19
Java开发工程师,上海舟恩信息技术有限公司,深圳-福田区,1-1.5万/月,05-19
Java开发工程师,深圳市友佳智能科技有限公司,深圳-罗湖区,0.6-1.2万/月,05-19
Java开发工程师,深圳前海易购科创智能设备有限公司,深圳-南山区,1-1.5万/月,05-19
高级Java开发工程师/项目经理,深圳辉煌明天科技有限公司,深圳-南山区,1.5-3万/月,05-19
Java开发工程师,深圳市华佗在线网络有限公司,深圳-南山区,1-3万/月,05-19
Java开发工程师（服务端）,广州悦人网络科技有限公司,深圳-南山区,1-2万/月,05-19
Java开发工程师,上海昊声电子信息技术有限公司,深圳-龙华新区,6-8千/月,05-19
Java高级开发工程师,深圳市为众云科技有限公司,深圳-南山区,0.8-2万/月,05-19
大数据java开发工程师,深圳投哪金融服务有限公司,深圳-福田区,1.5-2.5万/月,05-19
高级Java工程师,深圳市怡亚通供应链股份有限公司,深圳-龙岗区,1.5-2.5万/月,05-19
Java开发工程师,深圳晨芯时代科技有限公司,深圳-宝安区,0.6-1万/月,05-19
中高级Java工程师,深圳市金证科技股份有限公司,深圳-福田区,1.5-2万/月,05-19
JAVA项目经理/高级JAVA软件工程师,深圳市拜特科技股份有限公司,深圳-福田区,1.3-2.5万/月,05-19
Java开发工程师,深圳市慧闪科技有限责任公司,深圳-南山区,0.8-1万/月,05-19
java开发实习生（深圳）,广州赛意信息科技股份有限公司,深圳-龙华新区,2-3千/月,05-19
Java开发工程师,深圳市超级视觉科技有限公司,深圳-龙华新区,1-1.8万/月,05-19
Java高级开发工程师,海南新浪爱问普惠科技有限公司,深圳,2-3万/月,05-19
中高级Java研发工程师,深圳市前海锦杉金融服务有限公司,深圳-福田区,1-2万/月,05-19
Java高级开发工程师,深圳九州同富科技控股有限公司,深圳-福田区,1.5-2.5万/月,05-19
Java高级开发工程师,前海结算商业保理（深圳）有限公司,深圳-南山区,1.5-2万/月,05-19
Java开发工程师,深圳斯卡顿科技有限公司,深圳-南山区,7.5-9千/月,05-19
Java开发工程师,华润万家有限公司-OLE业务单元,深圳-罗湖区,0.8-1.2万/月,05-19
Java高级开发工程师,深圳多点互联科技有限公司,深圳-宝安区,2-3万/月,05-19
Java高级开发工程师,深圳市荣耀香江商务咨询有限公司,深圳-福田区,1.5-1.7万/月,05-19
JAVA 高级开发工程师,玺得（深圳）科技有限公司,深圳-南山区,1.5-2.5万/月,05-19
Java开发主管,深圳前海车米云图科技有限公司,深圳-南山区,1.5-2万/月,05-19
JAVA开发工程师,深圳市天地互通科技有限公司,深圳-龙华新区,1-1.2万/月,05-19
Java开发工程师,深圳市因纳特科技有限公司,深圳-南山区,0.6-1.2万/月,05-19
Java高级开发工程师,深圳市莫亚科技有限公司,深圳-南山区,1-1.5万/月,05-19
Java架构师,深圳市爱订网络技术有限公司,深圳-龙岗区,1.5-2.5万/月,05-19
Java开发工程师,深圳传音控股有限公司,深圳,1.2-1.5万/月,05-19
